Data ,Label
नेपाल मा कुनै पनि सामन राम्रो छैन,0
यो घडी नकिननुहोस् यो घडी पैसाको बर्बाद हो किनेकाे केहि दिनमै घडीको रंग हराउन सुरु हुन्छ ,0
सामान किन्ने काम गल्तीले पनि नगर्नुहोला,0
यहाँको उत्पादहरूसँग सन्तुष्टि हुदैन यो एकदम घटिया र झुटो रहेछ भन्नसक्छु ,0
वृद्ध प्रयोगकर्ताहरूको लागि सजिलो छैन,0
"शिक्षा, स्वास्थ्य र कृषि प्राथमिकतामै परेनन्",0
"सबैभन्दा नराम्रो किनमेल अनुभव, मैले गरेको छु",0
"पुरै ठग्ने काम गर्छ, अडर कुनै चिजको र डेलिभरी अरु नै गर्दो रहेछ मेरो रू १८००० ठगो",0
दुब्लीकेट सामान हो यो,0
यो उत्पादन बाट आज  सम्म निराश छैन,0
सुमार्गीको जग्गा कब्जाको दाबी,0
रक्षा परिषद्सम्बन्धी विधेयक हुबहु पास हुन नदिने,0
कांग्रेस नेता सिटौला ह्याम्स अस्पतालको आईसीयूमा,0
नेपाली विद्यार्थीको विदेश पीडा,0
Fake news just clickbait,0
छ्या कस्तो नराम्रो,0
म तपाईँलाई घृणा गर्छु।,0
delli le aja ko game ma ne sandip lai kelayenw,0
,0
 सबैलाई थाहा छ कि तपाईले आफ्नो चार्जर फिर्ता लिनु भएको छ,0
,0
Yo saman kineko dwee din ma bigreyo,0
किनिएको समानहरुमा निकै नै खराबी देखियो र निकै चाडै बिग्रियो,0
देलिवर गर्न अलि ढिलो भयो।,0
सब्जीको मूल्य उच्च हो,0
म दुखि छु,0
खेल खेल्दै मेरो आँखालाई चोट पुर्याउँछ,0
म तिमीलाई घृणा गर्छु।,0
ई मीडियाले समाजमा गलत असर गर्दैछ  below from here thursday 14 chaitra,0
Dhulo uthauna stop  gareu vane ma Lastai risauxu hai gaizz,0
यो समान किनेनौ भने म लस्तै रिसौछुनि,0
यो पेज खोल्ने मान्छे देखेर लास्टै रिसाउछु  म,0
काठमान्डौ पुरै उठुन्जेल नि सकिन्न धुलो पिच कहाँ छ र धुलो सकिन जति उठायो उति आउछ,0
नेपाली धुलो चाहे broomer ले सफा गरोस्कि पानी हालेर cleaner लार गरोस् सफा हुन्न ,0
येहा बाटो नै थर्ड क्लासको हुछ,0
पिहिले राम्रो बाटो निर्माण गर्नु अनि प्राविधि उपयोग गर्दा राम्रो,0
broomer चलाएर हुन्छ खुरु खुरु बाटो गतिलो बनाउनु नि ,0
