Data ,Label
यो समान राम्रो रहेछ,1
यो घडी मलाइ साँच्चिकै सुहाउछ । म यसलाई खरीद गर्नेछु।,1
मूल्य प्रति अनुसार राम्रो उत्पादन,1
ठिकै उत्पादन हो।,1
सामान त राम्रो रहिछ ।,1
वाह,1
सहि हो सहि हो,1
चाख् लाग्दो ,1
एकदम दामी छ ।,1
मेरा बच्चाहरू यसलाई प्रयोग गर्न मनपराउछन ,1
शुरुआती वा अनुभवी व्यक्तिको लागि उत्कृष्ट,1
उनीहरूको लागि सस्तो ट्याब्लेट प्रयोग गर्न र सिक्नका लागि सजिलो छ ,1
मूल्यको लागि मलाई लाग्छ यो ट्याब्लेट त्यहाँ सबै भन्दा राम्रो छ,1
यो सामन साइज   को छ। मैले यसलाई मेरो पतिको लागि खरिद गरेँ किनकि उहाँसँग यो  फोनको तुलनामा ठूलो स्क्रिन छ,1
यो उत्पादन ले आज  सम्म निराश छैन  मेरा बच्चाहरू यसलाई प्रयोग गर्न मनपराउछन,1
यो शुरुआती वा अनुभवी व्यक्तिको लागि उत्कृष्ट छ । मैले यसलाई एक उपहारको रूपमा लिय ,1
"हल्का वजन, र मूल्य बिन्दुको लागि, निश्चित रूपमा खरीदको लायक",1
म आफैं छनौटमा खुशी छु,1
पुस्तक पढ्नको लागी यो ट्याब्लेट ठीक छ ,1
म पुस्तकहरू आदेश र पाठकसँग पढ्न मन पराउँछु,1
"उत्कृष्ट उत्पादन, पर्‍योग गर्न सजिलो छ, ठूला स्क्रिन चलचित्रहरू हेर्न र  पढ्न सजिलो छ",1
मेरो बुबाले आफ्नो पहिलो ट्याब्लेट किन्न  चाहानु भयो र यो धेरै राम्रो मूल्य हो यसमा  चलचित्रहरू हेर्न र खेल खेल्न सक्छन्य सको प्रयोग गर्न सजिलो छ,1
,1
स्क्रिनको आकार मनपर्छ,1
"ज्येष्ठ नागरिकका ज्ञान, सीप तथा अनुभव प्राप्त गरेर नयाँ पुस्तामा हस्तान्तरण गर्दै जानु जरुरी छ",1
Mero bichar ma yo aakdam ramro xa,1
हजुरहरुले डेलिवर गर्नु भएको समान निकै नै चित्त भुज्ने छ,1
यहाँ बाट किनेको सामान ऎक्दमै राम्रो बलियो र टिकाउ छन्,1
नेपालको धरती उपज हो,1
म खुशी छु,1
मलाई खेल खेल्न मन पर्छ,1
म तिमीलाई माया गर्छु,1
इलेक्ट्रोनिक मिडिया एक प्रासंगिक र एक खुला स्रोत हो,1
अती सुन्दर प्रयास,1
malai yo project ramro layo ->below from here thursday 14 chaitra,1
रक्सी  पिएर बाटोमा सुत्दा नि महिलो नलाग्ने भयो अब रक्सी  पिउन सुरु गरुन्छ,1
सडक मा भन्दा पहिले नेताको दिमाख मा ब्रुमर लगाएर सफा गरिदिए देश चाडै बिकास हुन्थ्यो कि,1
पहिला खाल्डाखुल्डी टाल्न भन रुटिने तेस्ता बुमरबाट होइन हेलिपम्प बाट सफा गरौला,1
अनि वाहा भनौला,1
पहिला सबै तिर राम्रो सँग पिच गरेर त्यसपछी सफा गर्न थाले हुन्छ,1
पहिला सिहदरबार सफा गर्नु पर्छ  अनि उपत्यका मात्र हैन देश नै सफा हुन्छ,1
धन्यवाद तपाईहरु सबैलाई सामन उपलव्ध भएको छ,1
मनपरि नबोलौँ भन्छु साला यस्तै पोष्ट देखेपछि दिमाग तातिन्छ,1
त्यसैले अामा-बुबालाई वृद्ध अाश्रम हाेईन घरमै अाफ्नाे साथमा राख्ने गर,1
जन्म दीनको लाखौ करोडौ सुभकामना,1
प्यारे सधै हासिखुसी रहनु,1
अनाधिक्रित पार्किग नियंत्रण सवारी कसैको जन-जीवन उजाडी,1
फुटपाथ मा कपडा बेच्ने लाई जरिवाना तोकिन्छ यहाँ कलिला नानिका कपडा च्यात्ने हरु खुलेयाम घुमी रहेका छन,1
त्यो कुनै चटपटे पसल मात्र हैन त्यो कसैको परिवारको खुसी किन्ने सपना पनि हो ,1
chaitra 16 saturday,1
बोलेर भन्दा गरेर पो देखाउनु पर्छ र होईन भने येस्तो गर्नुपर्छ उस्तो गर्नुपर्छ यो गरे राम्रो त्यो गरे राम्रो भन्न त जो पनि सक्छ तर ब्यवहार मा लागू हुदैन,1
म पनि त्यही बिचमा छु,1
