Data ,Label
मेरो मोबाईल मोबाईल ले काम गरेको छैन,0
के तपाईं DFLP DFLP बारेमा अलिकति बन्न सक्नुहुन्छ ,0
यो सामान नेपालमा भरि उपलब्ध हुनु पर्छ,0
यसको मूल्य कति,0
मूल्य कृपया,0
कति हो मिलाएर,0
राजनितिक दवाव र नातावाद भष्टाचारी,2
Aafu bhanda Handsome bhayerw hola dekhdai rish uthch,2
नेपालमा न्याय नै पाउन निकै गाह्रो छ जस्तो लाग्छ,2
न्यायको विपरित हुने काम गरेकै देखिन्छ,2
Nepal ma kehi hunewala chhaina,2
Nayalaya lai rajnaitik aguwa haru le sanchalan garnu hudaina ra aafna ra aafanta vana xodanu parx,2
झोले कार्यकर्ताहरु,2
अरु कुरा सबै गफ हुन,2
"चाकडी, दलाली र भष्टाचारी",2
बिचरा,1
पिडितहरु अहिले गाँस बाँस कपास विहिन भएका छन्,2
यस्तो काम मन पर्दैन,2
उनिहरुले तराईका रैथाने नेपालीलाई कहिल्यै राम्रो होस् भन्ने चाहदैन ,2
नेपाली बीर गोर्खाली भन्ने त इतिहासमा पढ्न मात्र पाइन्छ देख्न त कहिल्यै पाइएन,2
यहाँ दलाल ठेकेदारहरुले देश चुसेर सकिसके,2
This is disrespectful साला आकासले नि मेकअप गरेको छैन,2
ब्रम्हाले हैन शिव संकरले गाजाको धुवा फालेर यो galaxy बनेको हो,2
यस्तो जाडो दिनमा पनि के चटक हो,2
के कति छेती भयो बिवरण पाउन,2
जानेको संस्कृत यहि हो त्यहि पनि बजाईदिए,0
स्पष्ट निती निर्माण गर्नु पर्दछ,1
"योग्यता, क्षमता, इमानदार, सक्षम, निडर, बरिष्ट",1
घाईते सम्पुर्णमा शिघ्र स्वास्थ लाभ को कामना,1
सार्है दुख लाग्यो मृतकहरु को आत्माले चिर शान्ति पावोस् साथै घाइते भएकाहरुका लागि स्वास्थ्य लाभ कामना तथा सोकाकुल परिवार प्रति समवेदना प्रकट गर्दछौं,1
हार्दिक श्रद्धाञ्जली,1
5 बजे तिरै बनाको हो कि रुटिने ले ढिला wish गर्यो,0
हेर हेर नेपाल मै बसेर काम गरेको भए यस्तो दिन त देख्नु पर्दैन थियो,0
नेपालिको बिश्वमा कति छन भन्ने कुराको यथार्थ प्रमाण हो यो बिदेसमा सवारि दुर्घटना हुदापनि नेपालि नै मर्छ,0
मैले पनि मेस्सिको टाटु हान्छु भनेर गएको  भाइ हड्डीमा मिल्दैन भनेर फर्काइदियो ,0
छाती मा हान्न हुदैन थियो,0
कति लिटर दिन्छ दिनको,0
गौरी गाई काहाँबाट आएछ,0
इनि दाजु चाइ साचै निश्च्ल मनका रहिछ्न,2
dheari badhai tatha suvakamna xa hai,1
Kun swarga ki apsara hau timi,1
Ho ta hai,2
सुसासनयुक्त अनि मर्यादित बनाउनु,1
गरिमामय र निस्पक्ष,1
समचार पड्दा विस्वास लागेको थियन यो  पोस्ट पढे पछि बिस्वास लाग्यो,0
यो देखि धर्म कर्म मा लाग्न थालेछ,0
लौ न भगवान करोड पति बनाइदेउ मेरो साथी लाई,0
यो समान राम्रो रहेछ,1
यो घडी मलाइ साँच्चिकै सुहाउछ । म यसलाई खरीद गर्नेछु।,1
मूल्य प्रति अनुसार राम्रो उत्पादन,1
ठिकै उत्पादन हो।,1
सामान त राम्रो रहिछ ।,1
वाह,1
सहि हो सहि हो,1
चाख् लाग्दो ,1
पैसा बढ्दै गयाे,2
घरका छानाेले अाकाश छुन लागे,2
दिनहुँ खाईने भाेजनमा पनि अनेकौं परिकारहरु अाउन थाले,2
धोती को देश नबनोस सगरमाथा को देश बनोस शुभकामना,2
अाज मान्छे सँग अथाह पैसा र सम्पत्ति छ तर मनमा काडा छ,2
बेरोजगार हरुको काम खोस्ने मेसिन आएछ बल्ल  कम्ता नाटक देखिन काठमाडौं मा फोहोर सफा गर्दै हिड्ने हरु ,2
राति सफा गर्छ दिनभरि खनेर धुलाे बनाउछ घण्टा सफा हाेस,2
हाम्रो तिर चै कहिले आउछ,2
गेरन्डि हस्पिटलमा छ,2
तर म टाढा छु,2
भुगोल पार्क मा गरिएको रगत डोनेसन चाहिँ कता जान्छ,2
बाउले माया गरेर भात ख्वाइदिँदा बटारिने छोरी boyfriend ले pills ख्वाइदिँदा घुटुक्क निल्छे,2
आमाले छोरी मलाई सन्चो छैन बजार सम्म गएर सब्जी लिएर अाइजा न भन्दा रिसाउने छोरी राती बाह्र एक बजे सम्म आयो हान्दे  लुकेर है लुकेर  त्यता हैन अली तल तल  कस्तो ठाउमै मै हान्देको blood नै blood भयो भन्दै PUBG खेल्छन ,2
मनपरि नबोलौँ भन्छु साला यस्तै पोष्ट देखेपछि दिमाग तातिन्छ,2
पढ् केटा हो पढ्के टीले नम्बर देली तर मास्टर ले दिँदैन,2
यदि गाडी हिँड्ने बाटोमा पार्किङ्ग गरेर राखेको उठाउन मिल्छ भने सर्वसाधारण जनताको बाटो छेकेर हिद्नै नमिल्नेगरी राखिएका यी जस्ता धेरै किन समात्न नमिल्ने ,2
हैन त्यो तीन फिट जती जमिन ढाक्ने पानीपुरिको साईकल लेर जानू भन्दा तीनसय  मिटर जमिन ढाकेको फोहोर को डङ्गुर उठा बिच बाटोमा जोगिको लट्टा जस्तो तार गुजुल्टेको बत्तिको जुन पोल ठड्यायेको हुन्छनी त्यो हटा,2
तस्बिर मा देखेको कुरालाई सरासर अन्याय भयेको ठहर गरे मैले चै  ,2
अहिले नगरपालिकाको कर्मचारीले यसरी गाडा उठाउँछ अनी बेलुका उस्कै छोरी चट्पटे खोज्दै त्यै फुटपाथमा जान्छे,2
अव्यवस्थित रुपमा पार्किङ गरिएका हुन्डाई किया मित्सुविसी टोयोटा टाटा इत्यादीका रातो प्लेटका गाडी हरुलाई न त ट्राफिकले आँखा लगाउँछन महानगरपालिकाले नै,2
मारमा पर्नेहरु सधैं गरिब र लाटासोझाहरु नै हुन्,2
सबैजनाले यो देख्ने बित्तिकै लब रियाक्ट वा लाईक गर्नुहोला,2
एकदम दामी छ ।,1
मेरा बच्चाहरू यसलाई प्रयोग गर्न मनपराउछन ,1
शुरुआती वा अनुभवी व्यक्तिको लागि उत्कृष्ट,1
उनीहरूको लागि सस्तो ट्याब्लेट प्रयोग गर्न र सिक्नका लागि सजिलो छ ,1
मूल्यको लागि मलाई लाग्छ यो ट्याब्लेट त्यहाँ सबै भन्दा राम्रो छ,1
यो सामन साइज   को छ। मैले यसलाई मेरो पतिको लागि खरिद गरेँ किनकि उहाँसँग यो  फोनको तुलनामा ठूलो स्क्रिन छ,1
यो उत्पादन ले आज  सम्म निराश छैन  मेरा बच्चाहरू यसलाई प्रयोग गर्न मनपराउछन,1
